Emotion,Text
surprise,may blacked last night guarantee remember happened
joy,period falling love time met especially met long time
joy,weeping may endure night cometh morning p joy ty elroi
joy,little moment find money lying around somewhere wink smirk
disgust,know remake man nothing sacred
joy,happy difficult time could find support friend fiance happy spiritual moral help gave new power struggle happy felt soul
sadness,yes managed sort problem tied matter hour
fear,factor music boy known falling meeee
sadness,almost every month seems though sad parent local news bemoaning loss teenager died way
surprise,david filled dream ecstasy pain bewilderment abrupt departure
joy,special friend said love first time
disgust,guess ill watch sorry as steelers game
fear,head horror quot footballer wanted risk contesting ball air bensela quot
fear,surf sunday today south africa got three hour wave shark
surprise,wait friend see twin laughing big grin laugh glass
anger,angry father give much money brother use studying brother better
fear,time pick cover next issue idea theme follower
surprise,dream rob working cast rob ended injuring finger
joy,essentially unusually still major point self boss
surprise,going go give visit friend mine tomorrow
fear,call police definitely following
joy,christmas music make happy
disgust,equally provided home darkest form revulsion sex marriage
joy,time night burst energy able go sleep another hour two laughing loud
joy,oh alarm clock accidentally changed
fear,deer come feel like edward cullen going come eat time
surprise,quot quot today woke good news quot blue quot order almost ready wink smirk
joy,sure get hang piece cake nothing worry
anger,never told go court
joy,missed found voice always present light calling thanks
joy,worry heart common form
joy,happy birthday amp great day amp love
joy,break step escalator let carry step wide open space amp fresh air breathe amp enjoy ljb
sadness,bff moved another country cried till could cry anymore
sadness,problem many poor people might suffer
fear,way describe week harry potter everyone scared say voldemort name loud presentedlikeatruenerd
sadness,ugh sad hope built amp crushed two hour
sadness,think window shop online
sadness,turn drawn time miserable
sadness,conflict interest close friend mine thought interest friendship behaviour hurt friend another incident friend isolated without giving reason
fear,feared pregnant planned would compelled abortion would liked fortunately week anxiety got know pregnant
fear,south africa must worried easily get close line know carling jeremy guscott amongst quickest world
joy,dark seattle half moon brother driving passenger seat listening moonlight mile way eat oyster
joy,iphones back sensor still busted forever putting call hold mute loud speaker hanging everyone
joy,going japan year vacation
fear,lip man trust bitch
joy,le hour waking school
disgust,youtube comment belong mean teh delete wish
joy,david black as making feel uncomfortable
anger,horrible job hair
joy,driving mom airport morning work
joy,air reminds christmas
anger,show annoyance intimidating facial expression backed sparse selection adjectival punctuation invariably using f word us considerable effect
joy,highlight day talking month old nephew aka pooh bear happy face smiley
joy,left light car start lmfao
joy,everyone month biggest round corner may find rt
joy,sure beach going
joy,thebodyshopuk playing nine month old nephew make best feeling
sadness,alone parent house made plan spend afternoon lover plan lover cancelled watching movie considering life circumstance pressure examination particular
sadness,sad heard uncle passed away home
anger,learned girlfriend unjustly missed work
fear,little sister going university next year terrified cc ryanclassic metricjulie
shame,mortified referee ordered game end persuaded leave one linesman took spectator taking linesman place
anger,also pretty peeved see ministry agriculture failure represent interest adequately brussels
joy,horrible morning another long as day work
sadness,sorry get accepted
joy,love people call baby girl
anger,face livid bloody
surprise,completely forgot wearing pink shirt morning looked expecting grey monday
anger,heavy work load two colleague nothing disturbed continously interrupting
fear,nb gettin ah option exist
joy,wonderful birthday weekend end rush back day full canceled class
surprise,naturally late drive hour tomorrow
joy,laying bench outside tree rest family
sadness,would much rather soup lunch tomorrow wednesday
anger,shop downtown would accept visa card december last year
sadness,loss mother
joy,forgot put product hair last night today
joy,enjoying people weather food culture amp delighted christ
joy,friend told quot secret long marriage get divorced
anger,close friend intimate bodily relationship girlfriend started avoid want talk
joy,god good time low life top world remember put
fear,well chronic fear flying
joy,making best bubble bath putting every single bath soap
sadness,know happened lost
joy,good morning happy morning wanting dance
fear,well one subject last term afraid would fail result grade though good still passed felt comfortable
sadness,glad wore fuzzy sock uggs today wish sweat today though
sadness,get work early yep proud dismay supervisor still
anger,grandfather never really liked anyway
fear,silent staring horrified eye
disgust,would anyone purchase something artistic input
surprise,today going hell day laughing loud teamfollowback
anger,bellybutton said indignant voice though question impugned mcillvanney honour
sadness,also someone took pyramid greatness lab
sadness,father child killed accident
anger,irishman mr macsharry furious mr delors interference resigned post
surprise,love unexpected phone call happy face smiley
sadness,tourney morning hell even think anyone signed besides like people
fear,going attempt get hair cut
sadness,really sucking tonight beaten first world yet life
anger,like kid throw rap come look like fucking idiot much
fear,room room holyspirit trust lord shall direct step
joy,normally happy sunny person felt vague disquiet though changing without wanting
joy,neighbour recalled m bailey overjoyed birth daughter
joy,always good thing plane towed tarmac back gate
joy,still hour till doctor appointment school
anger,aggressive political tweet stirring pot twitter feed haha
joy,like win euro lottery
sadness,implies express moral commitment foreign host source much personal anguish
joy,wrecked couple week ago found today therefore without car
joy,listening explain book
fear,thus forced hide ignorance ill became bohemian poet trial burst upon horrified society
sadness,first semester coming end frown sad andry pouting
shame,jenna face flushed embarrassment way girl watched amused surprise
joy,joy always one conversation away god psalm
joy,note anger carried group couple passing provoking amusement raised eyebrow
surprise,college research paper death put til last night
joy,supreme awaken creative expression knowledge albert einstein motivation inspiration music
joy,ugh fail math test today
surprise,laughing loud damn got like laughing loud rt ugh get one random going scream
joy,school rehearsal till bye
fear,true rt revrunwisdom afraid tomorrow seen yesterday love today le quot
sadness,listen death cab fro cutie short period time
sadness,missed missed companionable secrecy relationship miserable
fear,news made nervous whenever see cop even friendly cop mall hate
fear,lord fell kingdom land around judah make war jehoshaphat
fear,quot afraid tomorrow seen yesterday love today le quot rev run
sadness,people care stripper bianca dad gave away settle debt know
joy,happiness horse harness russian
joy,christmas holiday started felt joyful finished last exam
sadness,haha honestly together five day outta seven summer know happened frown sad andry pouting
anger,getting spit upon make wet make angry choice rt
fear,whenever think enrolling organic chemistry
joy,give today much notice effect mood reaction get others
joy,prayer reign heart christian everywhere
fear,anyone say afraid dark let walk blacked theater
joy,though relieved fiercely delighted apparently stopped track polly apprehensive going back deck
joy,pleased reacted bad start season
joy,quot school literally sucking life c quot
joy,one life greatest moment one find true talent sad moment realise sleeping
joy,think twice ride go every ride good time
joy,remember highly amused rendering young rook cry whilst gobbling worm perfectly true nature
sadness,coming italy live concert
sadness,sky always blue sun always shine okay fall apart sometimes
anger,bought dinner homeless lady amp gave money feed cat fuck situation possible western europe
joy,may snow colder get closer get ice
sadness,miss frown sad andry pouting function without frown sad andry pouting
anger,prosecutor clearly miffed several businessman changed statement given investigation case
anger,yes fill form anyway emergency room
sadness,pissed looking buying kate bush new album even cancel co need
joy,rule world truth grace jesus
sadness,greatest prince despondency feeling served useful purpose
joy,birthday passed glad study much lucky proof really difficult everybody passed test
joy,work like hour first black friday hollister employee
joy,unbelievably exciting day laundry grease removal
surprise,rain state college notreally
surprise,good thing always dress appropriately came visit baby whole family
joy,rain home rain
disgust,word yes nearly vomited heard
sadness,really sure happened somehow front cover agenda ripped back cover like half gone
anger,lissa hated cold incisiveness tone angry caring much
sadness,apparently people every year die vending machine really prof u human die easily
fear,process spotting refusing obey source true empowerment beck
anger,mom wear helmet drive sane promise
sadness,nicky looked crestfallen dare argue constance mood
disgust,finished watching food way control seed
joy,baby really kick much anymore frown sad andry pouting getting big jab foot rib happy face smiley
anger,asleep day lot carry shouting house
anger,people grieve different way mine happen
shame,people embarrassed talking sex
anger,father failed send transport money closure school
sadness,pret manger license opposite take much money
joy,throat sore nose running lol got animation
surprise,guess ap lit today nothing
joy,favorite sister rt bogue chitto bound broke cruise control
joy,time year love say xmas
anger,stranger district coming brow hill would stopped astonished perhaps little peeved see ploughman lane lying beneath
joy,clive also attended visibly gleeful spared school undesirable publicity unloading nick time
joy,back work bang finished ready hour day teaching tomorrow
joy,finally watch glee tomorrow oh goodness
sadness,riley asleep bed excited torn growing fast
joy,make nine assignment friday terrible grade class going fail final
fear,woke middle night dream nightmare dream wich woke certain end
sadness,putting decorating house christmas tomorrow grade paper write lesson plan tonight
sadness,truth rt miss football season aca skeptical annoyed undecided uneasy hesitant
joy,found someone hate charlie brown much soulmate yes
joy,katherine yet told pleased shall going school u valois frequently
sadness,jane moss said yesterday double heartbreak daughter death murder mum year ago made want care needy
disgust,saved buck blu ray dvd walmart wink smirk love black friday
anger,disappointed angry bad quality program tv opinion topic important program made seriousness consideration
joy,literally shaking coldplay concert going highlight year
joy,midnight christmas music go
disgust,mean girl movie ever even qualified movie
sadness,dog eleven year died watched
joy,love making people happy
surprise,rihanna amp chris brown head head oh shit rihanna surprise laughing loud
joy,sometimes amid great excitement mother guest drank wine laughed loudly spoiled pam
sadness,got tired lm ish facebook need attention bad
joy,finished paper ended word total happy face smiley happy
fear,since war cia alarmed british government many whose politician regard friend moscow
sadness,denning family feel sad although sharpness still thriving never busy port
joy,manufacturer could play excitement commentary sell set
fear,wat du fink success suck much stress guess blew quick success jay z
joy,morning tweeps beautiful day amazing city day till weekend
joy,went pub large group friend drank danced
joy,get instant temporary expect others serve experience r far wakeup leader
surprise,sitting sweet coming see surgery
fear,unknown change replace stability familiarity ambiguity uncertainty leader jo amman reformjo jordan
sadness,sorry dialed wrong number
sadness,never seen message bottle good cry
anger,fuck old school even allowed tv
sadness,deeply depressed felt guilty depression
sadness,damn knew frown sad andry pouting want fall cu pic trying hard
fear,watching greasy get naughty marky mark tonight
joy,staff party next sun totally come useless
joy,bulinecamps blessed rt takenbywords line camp leader blessed happy baylor sicem linecamp
surprise,headphone officially broken guess mean roommate going subjected music netflix
sadness,looked utterly desolate year cheek seemed sag looked heavy
surprise,twitter screwed head little
fear,finding eternity arouses reaction freeing excellence affect reality
joy,worked lawyer office summer got good reference
fear,think dangerous turn
fear,year protected seed time become beautiful paul
sadness,thought perhaps news benefit king brings sorrow rest u
joy,leaving nine hour car guess get back
fear,considerable public disquiet anyway bugger parkhurst panicked entire country going lie low
fear,piersmorgan khan get knocked show boating sign
fear,commercial ethic meant deterioration standard cutback overseas news department one glory bush house caused much dismay public communication world
anger,sure one especially bad word unpleasant
fear,saw earlier today n crossed da street saw
sadness,sense rather sad writer remembers
sadness,friend pas high school graduation examination
joy,god something really major know come along way christian walk struggle faith power
joy,lecture sensed understanding boy know exchange glance think like like perhaps fallen love
fear,understand need tomorrow morning accidentally spilled beer wife dress wedding attend tomorrow going kill
surprise,police found exhausted pensioner bewildered roadside
fear,seeing look dismay mother face tamar continued wo telling lie
anger,think anyway believe way bos ordering everyone around lately mean like ceo anything
joy,voice update voice developed ugly man whisper
surprise,lmao rt fuck damn near super model must think money laughing loud
sadness,rained night long feeling people place like drain make life miserable
joy,spending day bed sick cat
fear,false evidence appearing real
surprise,lot nice thing today meeting old colleague new place work top happy face smiley
disgust,honey look cute chest hangin maybe nest time find shirt fit
sadness,grandmother passed away
joy,next hr go employed actor unemployed actor employed actor unemployed actor salesman
sadness,first tony looked le happy said become somewhat despondent lack progress finding employment
anger,differ good sir hate took truck
joy,thanks let u decide one suit look best occasion
sadness,looked phoebe anguished expression nearly honest repentance
fear,revrunwisdom afraid tomorrow seen yesterday love today le
joy,going take time outta night complete math study sheet exam tomorrow
sadness,kicked scrabble need go back english class throw
shame,one episode end proud man broken humiliated tear
sadness,idea surviving marmite oh hate glad live nyc
sadness,miss loved spoil slow know
fear,climbing mountain see view towards top suddenly came across ledge nearly sheer drop either side cross
sadness,surely someone somewhere know killed ann heron person could ease pain heartbroken family
joy,hmm think word need think upgrade mean le rubbish phone amp
surprise,going pack clean leave final tomorrow getting home day earlier tina think happy face smiley
anger,listen music cook dinner
joy,week advent candle
joy,first rip chunk wall next drop belonging clothes get study chem night
anger,brother went new shirt adored returned dirty grease
anger,gave sigh exasperation
fear,young moved family auckland wellington meant new school friend etc
joy,lyk go kill urself rt nice pas iamthemadio knw dis planet way nice rt
surprise,hate people asking want birthday christmas clue
joy,thank god
anger,recall thinking home soon mother would angry missing supper
surprise,left senior legacy two girl gone happy receive
joy,congratulation mr stuart city marathon
sadness,awfully sorry think would mind much
joy,skeptical annoyed undecided uneasy hesitant knew used time wisely hav wake extra early last min revision
joy,time struck clock heard radio selected robert blake secondary school form happy selection parent happy full joy
joy,told turned toy would see tomorrow morning might
joy,flippin thankful absolutely life never happier
joy,got study religion cosmo whole bio assignment tomorrow
joy,overwhelming felt coldplay sang second song good thing xfactor done year get show lt
anger,twin business need stop
sadness,know really feel like going guess feeling little homesick
sadness,girlfriend guess playing army game
joy,r weary grace alone uplift soul seek find true peace
joy,black friday shopping
sadness,face completely serious even slightly mournful
surprise,main name board almost every black amp colour amaze
surprise,day like today make wonder floating sign head say quot screw quot
joy,lake farm park see light family walk fricken cold hour hamstring
sadness,check babe going take moment got cell phone internet connection
fear,going home alone one night paris man came behind asked afraid alone late night
sadness,jealousy playing anywhere near rest year skeptical annoyed undecided uneasy hesitant
joy,woke terrible sore throat congestion headache frown sad andry pouting
anger,honest bit fed
joy,miss baby see friday relaxed
anger,want indignant boyfriend doorstep breathing fire
sadness,sometimes person give unexplained happiness become reason
fear,must come understand love dual hand cautious wandering love might laundering
fear,alone night
joy,yay starting research paper little self partner decided help
fear,stoked fear factor coming back joerogan factor
joy,thank steve always encouraging
joy,midnight essay plan due tomorrow teacher like
sadness,niece nephew gone excitement day frown sad andry pouting
joy,determined ratio focus god focus problem greater focus greater joy
joy,awake already crap sleep got voice
sadness,wrote letter boyfriend could answer time defence mechanism found felt sad could talk anyone
joy,role forget thank gave push thank
fear,worst thing time year fall public please god let
anger,could feel easy really pissed
surprise,moving away greensboro going definitely different change openly embrace telling
sadness,nephew taken hospital meningitis know would happen
sadness,living mother like living extremely depressed friend ever discus sex life
surprise,rt follow unitednude win one special collector item giving away twitter friend rt win
anger,feel like smacked face et al could man limit last push
joy,welllll time ap comp homework know photography shit
joy,en la stage
joy,pray continuously kiss slowly laugh obnoxiously live honestly forgive quickly love everything
anger,hit girl sometimes kiss lip afterward cuz feel bad
joy,concert really great
anger,post football status fb today buried alive
sadness,know mr douglas really sick
sadness,god saw sad animal commercial
fear,wanted express fear horror
fear,malcsf want lose musa scared money make money quot cash quot
sadness,twerk team trending guess whenever lil girl pregnant
joy,cell phone service tweeting still shopping
surprise,know blonde one little mix happy face smiley
anger,anthony caught making international call office phone called sick eight time month smell like alcohol
sadness,christmas le month away already tired christmas music
joy,offered high position trust later accepted
sadness,one word sympathy could offer ease sorrow loved lost
joy,forced decorate house christmas
joy,feel bad recruit staying night picked worst week studying
sadness,ended sleeping hour every dream dog feel unreal truly gone
anger,hmmm extra coffee certain kind made certain way man miss espresso machine
sadness,sad missing forthcoming whisky
joy,one night want sleep early night final
sadness,penny boat charlie nooo lt
sadness,mad making cd frown sad andry pouting
surprise,cute watching tryna guess stuff see wheel spinning r spinning mud lol love babe
joy,sailing boat night full moon listening pink floyd drinking good wine good company boat full eclipse moon
fear,glance slid taking horrified katarina surrounded woman
anger,classmate always borrowed note would return time test selfish irresponsible delayed study
joy,current lover busy work study time alone together almost month one afternoon recently made love hour showered ate together
joy,tool academy making look forward tattoo tomorrow year since got one forgotten
joy,amazing day perfectly relaxed night thankful smiling laughing good friend awesome girl great family
sadness,huh rt romance talk never even date
fear,father chronic autumn strong fit seizure
fear,tonyreilly attending today due severe shame hangover send best wish though
joy,heading back home
fear,tenn ole miss declined play sc next year
anger,wrong want break horrible job
joy,got super early tomorrow go franklin
sadness,think conversation quite time
joy,broke glass week final paper due time reading writing yay awesome great
joy,thought alone might hold key mystery sole component strangely elated state
sadness,gunna suck waking nd see face
anger,dad told something done mother
joy,halfway done christmas shopping
fear,think hate loose hair anything world
surprise,rt follow unitednude win one special collector item giving away twitter friend rt win
sadness,made listen radio way home garbage every station
anger,miffed european parliament head president jose maria gil visiting paris promptly canceled scheduled stop de charette office pending apology
joy,happiness lie joy achievement thrill creative effort quote franklin roosevelt xa via
fear,oh dreadful ever sorry
surprise,bus empty today
fear,revrunwisdom afraid tomorrow seen yesterday love today le
fear,whenever someone say middle name get nervous cuz mom call angry
joy,admitted higher institute
anger,yeah head hurt physic class day killer
joy,successful day christmas shopping work gym afterwards
fear,saw look horror face
anger,true hollywood story casey anthony
joy,medium excitement enid blyton captain john soon died away
joy,john flattens man flattened golf club
sadness,interpersonal argument difficulty also common feature experience depressed patient comparison group
joy,even darkest moment true joy amp peace heart
fear,little used play factor little sister think laughing big grin laugh glass
joy,super sore got xrays today pain med plus make christmas riverside pain stressed
fear,revrunwisdom afraid tomorrow seen yesterday love today le
sadness,need boyfriend come rub back hurt good bad three hour away
joy,naturally excited getting championship back year said
joy,particularly pleased emphasis investment education training science research development commitment gave transport health community care
joy,presenting unfinished senior project tomorrow first day back need outline cover letter resume
fear,often afraid fall asleep worry world go time wake insomnia
fear,good friend mine behaved cool manner long time
surprise,happy quot walk random japanese people punch face quot day
fear,vincent irritated dismayed
surprise,relaxed week half month know start x work home
fear,wife quot fun party quot evening think please buy
surprise,found cute umbrella bottom purse bought
joy,proper chilled weekend time sleep back paradise tomorrow zzzz
fear,tom shakeshaft reveals dismay plan drive dual carriageway right beautiful piece countryside life
joy,love first time
sadness,assumed mother wept shown grief father loved anyone father parent wept copiously
joy,quot carried cross took shame believe shine light amazing grace recieve quot
joy,jesus laugh as rt danecook shit pant pure gravy
anger,truth hubby lost message hubby bcuz know spoke bcuz rage
sadness,behaviour reverend prentice added anguish
sadness,hmm think ask friend advice make decision sorry
anger,without employer knowledge even without communication bank account changed personal account closed
sadness,ruin perfectly good night fridge cold separated delicious vanilla frosting ever
joy,thebodyshopuk anticipation still pregnant christmas day bringing
fear,last time face face dog life street
surprise,talked roger week
joy,happened went check first year result thought would fail found clear pas course
sadness,dnt eat day finally eat eat anything everything
fear,relationship first girlfriend broke realized late
fear,way scared wit
sadness,failed exam study
anger,sixth congress irate delegate rejected ridiculously optimistic programme drafted secret le duan
surprise,eliminate confusion used live ann
fear,many thing holding back like
joy,work morning barely going bed
anger,acquaintance mine beat another person reason thus showed power
anger,physical violence friend would listen repeatedly tried warn avail result eight people
anger,time part work sent actually sort volunteered run errand someone authority send address far especially foot turned incorrect whole trip waste
joy,waiting minute train temperature
joy,week visit people never visit rest time eat turkey good sharon
joy,frozen yogurt gift card great stocking stuffer
sadness,ex fucking coward still love
joy,lie first health george william curtis quote trot gemini
surprise,preparation final used new face wash allergic rash
joy,hand gopher puck empty house may top pant make involuntary sound
fear,loathing la vega miss need b right happy face smiley
fear,ex quadruple hoe sumbodi need gne stop playin lil scary da loudest dog n da pound keep tail tucked n as
sadness,ridiculous much tweet relates daily life
joy,german last lesson friday oh
joy,asleep night house clean amp husband picking mil sit quietly
joy,great us natural material rather one scientist make prefer natural remedy one
joy,success mine real achievement
sadness,missing priest farewell tour toronto tonight
joy,well test tomorrow sunday submit paper online amp monday really enough time frown sad andry pouting
fear,strictly avoid frightening idea
fear,floydmayweather yo mane think pac fight may rumor say fight marquez handled think he scared
fear,camp went walk night lost way spent several hour looking camp
sadness,brown nearly auburn hair clung scalp misery sad eye stared freckled face hand clenched tight
joy,eagle landed phoenix ironically colder desert sf
anger,come home evening first thing sit smoke cigarette one day found flat totally desolate state wanted tidy finished
fear,painful situation definition damned damned life love therightthing
sadness,washington toronto tie game last time saw cousin leaf frown sad andry pouting
anger,expect anger rage jealousy give kindness stay clam watch burn flame happy face smiley life smile egypt
sadness,fuse today plus goodmorning text
anger,may however enough offended partner
fear,tell u sacrificed others tell u time worry future xa xa luke
surprise,guess actually coming class today meee haha
joy,mall second day row
joy,went visit friend hospital undergo operation glad hear operation succeeded relieved pain
sadness,sad cry thing like lt tweeted cute girl especially pot smoking one truth
fear,agony time feel nervous facing steve bull andy mutch
anger,caught window getting undressed
fear,little nervous never flown
fear,price recognised much low many insurer became worried apparent undervaluation organisation
joy,team need water cuz run upstairs downstairs got pas
sadness,finding indicate measurable difference normal depressed woman
sadness,funny sure hope parted good note skeptical annoyed undecided uneasy hesitant haha broken
anger,accused bitching best friend
fear,woman ooo imagine female artiste decide giv blowjob inside studio fit ask session money na choiii
anger,checked yesterday ikea stock drove today told sell due quality control
disgust,penis head actually scoop quot quot left behind another male
sadness,beard went spectacular day
joy,definitely feel like champ knee soccer
surprise,ultimate christmas present probably covered bailey whipped cream yum yum happy face smiley
joy,though lachlan planned expected attack morning quite happy lookout reported macleans approach early evening
joy,friend got engaged next summer wedding season calendar filling quickly
joy,many people walked similar path comfort love
anger,feeling make mouth work faster mind esar
joy,hour left work laptop battery say hour minute
joy,doubt god listens prayer ask life year day still blessed tear
joy,bargaining house like river side cost double price
joy,beginning summer term weighed eight stone three pound pleased lost two pound certainly say
sadness,jacob filled sorrow woman despite everything loved
joy,blame literally struggling keep eye open look behind
fear,casual noo anat getting pair livin large
anger,please explain make sense girl routine complicated get shower get dressed brush teeth door half hour top
surprise,quot got right pyramid invisible uc sun amp spectacular effect night amp day quot
fear,damn made good time reseda good early unexpected journey let u
joy,love waking give son tonsillitis comforting
joy,sensitive teeth hurt oh well getting head next friday
joy,afraid tomorrow seen yesterday love today onwards upwards
sadness,glenn close stubborn performance sunny make sad hate time
joy,playing tiger listening christmas music
sadness,longer mayor columbus crew stadium foursquare frown sad andry pouting
joy,hurrah flight expected early zero sleep tonight
surprise,wait see tonight little know sleeping bed
joy,monday pst free plan let release month contact detail
fear,think rt marriirtc way miss lot eh tell obaa yaa coming home boiibasses fifa
sadness,got explain kid got burn mark as
fear,creative block body natural flow instinct intuition often cultivated western mind
sadness,sorry mr polly
joy,jus tryin feel lil felt much pain nigga would cross yu personal gain
sadness,conner last guy championship team
fear,hour receiving certificate result frightened saw others cry felt tense time went fear grew
disgust,girl take part nashville wet tshirt contest site pure trash
fear,rspca say try different tactic attempting gain animal trust frightened people
joy,thank hope see next year
fear,idea whilst brother boast good result study afraid would lose
fear,like sharing feeling scared run admit something
joy,thanksgiving christ giving
anger,think let take chance
sadness,realizing school soon go different way perhaps never meeting friend year
surprise,cut small talk next time get winner cuz knew going
sadness,felt sadness notice important person many thing friend see soon anything u think u
surprise,greysonchance omfg used face really good idea might
joy,weeping may endure night cometh morning excited morning
joy,playing christmas music
joy,yes going wear red white
surprise,know got dirt road ent going shit homie trend never happen bet
joy,professional musician still sensitive happy something loved
sadness,smile hide anguish
anger,like girl cut half hair short keep side long like
disgust,female give first night dirty got respect man
anger,doh rt get everything choose pay price asshole facepalm
fear,impressed side awe department transport fearless tackling problem juggernaut lorry eec regulation must nevertheless confess disquiet recent plan
anger,problem thing getting hand keep sticking nose belong
sadness,found baby whipped auntie really sad moment sadness still
sadness,someone say quot hate quot want look say quot yeah well try living quot depression
fear,ever looked face amp amp said care
joy,chillin wife unborn baby girl joy joy joy joy joy
joy,let u try kind everyone let anything get u become angry sad
fear,greatest barrier success fear failure
sadness,read issue ultimate man series cut short ultimatum really screwed guy
fear,revrunwisdom afraid tomorrow seen yesterday love today le
anger,net issue got due update went download download even connect xbox live
surprise,note assist last year also odom key lakers championship year
sadness,saddened article us spurious connection dialect poverty mean attacking english teaching country
disgust,quot yu hot trot quot arrow left farmer go smack day
surprise,rt hoe lol better watch lil nigga quot bi better watch lmao
fear,frightened boy bolted gooseneck side scream fishbane corner unwary pole reaped consequence turning back view drama
disgust,maybe one day able watch breaking dawn eye open whole time
joy,hour left test still understand shit
sadness,spent half money mall today
joy,recently got appartment central gottenburg
sadness,haha actually mind half sarcasm playtime soon end
joy,reason running treadmill keep seeing mortgage commercial refreshed
disgust,know bathroom dirty someone rather use public bathroom instead
fear,allowing sabotage empowering success give back timothy queeninyou
anger,know really get going love speaking spanish owl city
fear,quot revrunwisdom afraid tomorrow seen yesterday love today le quot
surprise,oh goodness told thing coming
joy,back old slide phone
joy,want jinx great week far life finger crossed stay way
fear,people conditioned know want face gon face fear
anger,well living anymore listen rule
sadness,never sad final lecture class life teaching class ever
fear,fear order diet coke give real coke cola
joy,greatly inspiring cnnheroes great knw people like exists world service hero
joy,grateful many teacher amp fellow traveler life right teacher come along time
joy,result certificate exam announced surprised happy result better expected
joy,woke late missed bus raining going great day
sadness,feeling hurt thanksgiving meal pushed back hour
disgust,nasty gay as rt would want suck rhoa
joy,counter pill work skeptical annoyed undecided uneasy hesitant endure pain see mom
anger,time heal fact forget angrier become simply obviously significant
sadness,basically coming downpour track right
joy,even falling asleep mcleish amused bruce davidson hopeful proprietorial air
anger,parent going complain bt lack internet
anger,fight fire fight fire healed kindness suddeninspiration
anger,furious mr reynolds accused leader de dishonest
joy,god good promised increase year serve god always keep promise hear
joy,sound good
joy,hurrah get decoration jingle bell tidings comfort x
joy,giving loving peaceful
sadness,gah weird allergic reaction close throat amp make difficult swallow appears cheese
anger,damn walmart computer slow want finish minute
joy,may go night come morning
joy,go djcommish bad sport day
joy,gm hope today great day everybody
sadness,suck enjoying movie know minute away ending
joy,selected ti x
sadness,feel really miserable tell truth
joy,get big list item need found transferred another shop taken hour back keyboard later
joy,aristophanes shook handsome head friend amusement
sadness,saturday home mean missed chick fil day time row
anger,people say morning twitter like talk whole twitter
joy,mom said someone ant work called newborn girl wohoo
anger,get impression arouse anger see one angry respect nixon
joy,tried college got driving lesson look forward
joy,ready chaos someone called sick holiday
sadness,oh yeah played le crack head damn like crack
fear,quot revrunwisdom afraid tomorrow seen yesterday love today le quot
sadness,ohh okay booth pizza thingy man white frowning face
joy,listening michaelbuble decorating christmas tree
surprise,gee obviously favorite teacher
sadness,realized love horror movie lot
joy,rainy day like make want curl bed sleep forever class work instead
fear,friend anxious welfare
fear,know pop bottle bottle emotion least put open
anger,noone tell u bloody english homework mean
joy,happens u allow recognize good thing really feeling rather joyful
joy,read dedicate tomorrow studying final thurs
joy,looking website clothes eventually fit
fear,afraid tomorrow seen yesterday love today le quot
surprise,came home today well yesterday right smh wayy press though
anger,leonora lay rigid arm resentful carried like bundle laundry
sadness,party came local veil attached
sadness,played skyrim first time since patch horrible suspect caused dual core quot quot
joy,people go thing know nice everyone could make rude spread amp
sadness,haha found wreck journal past weekend going ask laughing big grin laugh glass time
joy,rough day trying find
surprise,dip happy birthday
joy,studying amp sista niece amp mom roll library like serious smh oh dat bring tryna get stuff done laughing loud
joy,lovely skype changed support link topic old one map new forum
joy,weeping may endure night come morning good morning folk
joy,delighted help museum extend collection said mr watson
anger,see convenient never understood thing like never know time zone change clock
sadness,night want cuddle next someone realize single
fear,garden one evening saw snake coming towards
fear,getting history computer read aloud would suck
anger,home sick today decide test fire alarm apartment
surprise,act scene unexpectedly arrive back pearl river wtf
surprise,turn training
surprise,best part think know know birthday
joy,came home christmas music
fear,lost wallet travelling since belonged group afraid
anger,tram ticket seller commanding taking role leader trying emphasize authority towards drunk could find ticket
sadness,bad news guy go pic si airport sorry frown sad andry pouting
joy,hockey match tomorrow please could rt
surprise,wow top world fastest internet speed index
joy,okay paper ton thing left
shame,reason embarrassed admit lived age poem elevated
sadness,forget word remove life ok happy face smiley lt happy sad
surprise,dinner heading city ryan nick hockey game
disgust,expect respect took advantage drunk girl
joy,great day connection plus vm love
surprise,back thanksgiving dinner holiday inn beijing amazing food hotel
joy,time think early tomorrow head day
joy,end poem must read expression sheer delight friendship
fear,mr mcwhinney drumhark road comber died instantly pulsar plunged ground front horrified spectator
surprise,john told astonishment unpleasant could waiter indian restaurant visited together
sadness,wanted lay bed bit guess pay thing rest
joy,yeah work junction station
joy,reason give speech amp take test
joy,ummmm got cut shit head tomorrow
anger,see mother get angry discover even everyday food apple unwanted chemical child body
sadness,year ago christmas eve felt sad realized first time missed father died christmas year ago
anger,thing first thing happened supposed go romantic dinner one year anniversary stood
surprise,wait surprise brother first gig ticket professorgreen brixton
anger,going need surgery time skool bus seat bad bum
surprise,day amp hour scratch hour happy face smiley
joy,going glued computer next like hr cuz group shit
joy,right thank
surprise,many people know amp supposed family
sadness,one best friend holiday
fear,year ago one evening people came home told u father badly injured accident
joy,another weekend wake early everyday
surprise,always little frightening stick hand pocket jacket worn year
fear,experienced fear prepared final year degree exam
surprise,saw fear bewilderment kind astonishment enormity complication lay ahead
surprise,happy birthday pretty cool girl
joy,one day thankful great folk met shared conversation amp year fb
sadness,hand caress surging wind deeper drowned sorrow
